journal_id,journal,ssci_rank,h5_index,h5_median,since,publisher,url,scope,type_id,type_category,type,lower_limit,upper_limit,limit_unit,last_updated
6,Annual Review of Political Science,6,41,58,1998,Annual Reviews,https://www.annualreviews.org/loi/polisci,"The Annual Review of Political Science, in publication since 1998, covers significant developments in the field of Political Science including political theory and philosophy, international relations, political economy, political behavior, American and comparative politics, public administration and policy, and methodology.",1,article,Article,,,,11/05/2020
7,American Political Science Review,7,58,88,1906,Cambridge University Press,https://www.cambridge.org/core/journals/american-political-science-review,"American Political Science Review is political science s premier scholarly research journal, providing peer-reviewed articles and review essays from subfields throughout the discipline. Areas covered include political theory, American politics, public policy, public administration, comparative politics, and international relations. APSR has published continuously since 1906.",1,article,Article,,12000,words,11/05/2020
7,American Political Science Review,7,58,88,1906,Cambridge University Press,https://www.cambridge.org/core/journals/american-political-science-review,"American Political Science Review is political science s premier scholarly research journal, providing peer-reviewed articles and review essays from subfields throughout the discipline. Areas covered include political theory, American politics, public policy, public administration, comparative politics, and international relations. APSR has published continuously since 1906.",2,research_note,Letter,,4000,words,11/05/2020
8,Environmental Politics,8,36,51,1992,Taylor & Francis,https://www.tandfonline.com/toc/fenp20/current,"Environmental Politics is an international, multi-disciplinary, peer-reviewed journal, which provides a forum for the publication of original research into, and discussion and analysis of, the diverse theoretical and empirical aspects of environmental politics. It is primarily concerned with scholarship focusing on: political parties, social movements, NGOs, and campaigns; the design, negotiation, and implementation of environmental policy; and environmental political thought. The journal also explores the ideas generated by environmental groups and organizations that underpin policy interventions of all kinds, and critically and normatively examines environmental concerns. ",1,article,Article,,8000,words,11/05/2020
8,Environmental Politics,8,36,51,1992,Taylor & Francis,https://www.tandfonline.com/toc/fenp20/current,"Environmental Politics is an international, multi-disciplinary, peer-reviewed journal, which provides a forum for the publication of original research into, and discussion and analysis of, the diverse theoretical and empirical aspects of environmental politics. It is primarily concerned with scholarship focusing on: political parties, social movements, NGOs, and campaigns; the design, negotiation, and implementation of environmental policy; and environmental political thought. The journal also explores the ideas generated by environmental groups and organizations that underpin policy interventions of all kinds, and critically and normatively examines environmental concerns. ",2,research_note,In Brief,,3000,words,20/10/2020
8,Environmental Politics,8,36,51,1992,Taylor & Francis,https://www.tandfonline.com/toc/fenp20/current,"Environmental Politics is an international, multi-disciplinary, peer-reviewed journal, which provides a forum for the publication of original research into, and discussion and analysis of, the diverse theoretical and empirical aspects of environmental politics. It is primarily concerned with scholarship focusing on: political parties, social movements, NGOs, and campaigns; the design, negotiation, and implementation of environmental policy; and environmental political thought. The journal also explores the ideas generated by environmental groups and organizations that underpin policy interventions of all kinds, and critically and normatively examines environmental concerns. ",3,book_review,Book Review,600,1000,words,20/10/2020
8,Environmental Politics,8,36,51,1992,Taylor & Francis,https://www.tandfonline.com/toc/fenp20/current,"Environmental Politics is an international, multi-disciplinary, peer-reviewed journal, which provides a forum for the publication of original research into, and discussion and analysis of, the diverse theoretical and empirical aspects of environmental politics. It is primarily concerned with scholarship focusing on: political parties, social movements, NGOs, and campaigns; the design, negotiation, and implementation of environmental policy; and environmental political thought. The journal also explores the ideas generated by environmental groups and organizations that underpin policy interventions of all kinds, and critically and normatively examines environmental concerns. ",4,literature_review,Review Artcle,,,,20/10/2020
8,Environmental Politics,8,36,51,1992,Taylor & Francis,https://www.tandfonline.com/toc/fenp20/current,"Environmental Politics is an international, multi-disciplinary, peer-reviewed journal, which provides a forum for the publication of original research into, and discussion and analysis of, the diverse theoretical and empirical aspects of environmental politics. It is primarily concerned with scholarship focusing on: political parties, social movements, NGOs, and campaigns; the design, negotiation, and implementation of environmental policy; and environmental political thought. The journal also explores the ideas generated by environmental groups and organizations that underpin policy interventions of all kinds, and critically and normatively examines environmental concerns. ",5,other/uncategorised,Discussion,,,,20/10/2020
9,Journal of Democracy,9,41,66,1990,Project MUSE,http://muse.jhu.edu/journal/98,"Journal of Democracy is an influential international forum for scholarly analysis and competing democratic viewpoints. Its articles have been widely reprinted in many languages. Focusing exclusively on democracy, the Journal monitors and analyzes democratic regimes and movements around the world. Each issue features a unique blend of scholarly analysis, reports from democratic activists, updates on news and elections, and reviews of important recent books.",1,article,Article,,6500,words,11/05/2020
10,Governance,10,37,52,1988,Wiley,https://onlinelibrary.wiley.com/journal/14680491,"Governance provides a forum for the theoretical and practical discussion of executive politics, public policy, administration, and the organization of the state. Published in association with the International Political Science Association s Research Committee on the Structure & Organization of Government (SOG), it emphasizes peer-reviewed articles that take an international or comparative approach to public policy and administration.  All papers, regardless of empirical focus, should have wider theoretical, comparative, or practical significance.  A personal subscription to the journal includes membership in SOG.",1,article,Article,,9000,words,11/05/2020
11,West European Politics,11,41,58,1978,Taylor & Francis,https://www.tandfonline.com/toc/fwep20/current,"West European Politics (WEP) has established itself as one of the most authoritative journals covering politics, government and public policy in Western Europe. Its comprehensive scope, embracing the major political developments, including the European Union, and its coverage of all national elections in Western Europe, make it essential reading for both academics and practitioners. The journal normally publishes at least two special issues per volume. ",1,article,Article,,8500,words,11/05/2020
11,West European Politics,11,41,58,1978,Taylor & Francis,https://www.tandfonline.com/toc/fwep20/current,"West European Politics (WEP) has established itself as one of the most authoritative journals covering politics, government and public policy in Western Europe. Its comprehensive scope, embracing the major political developments, including the European Union, and its coverage of all national elections in Western Europe, make it essential reading for both academics and practitioners. The journal normally publishes at least two special issues per volume. ",2,research_note,Research Note,,4000,words,11/05/2020
11,West European Politics,11,41,58,1978,Taylor & Francis,https://www.tandfonline.com/toc/fwep20/current,"West European Politics (WEP) has established itself as one of the most authoritative journals covering politics, government and public policy in Western Europe. Its comprehensive scope, embracing the major political developments, including the European Union, and its coverage of all national elections in Western Europe, make it essential reading for both academics and practitioners. The journal normally publishes at least two special issues per volume. ",3,other/uncategorised,Review,,150,words,11/05/2020
12,Journal of European Public Policy,12,51,80,1994,Taylor & Francis,https://www.tandfonline.com/toc/rjpp20/current,"The Journal of European Public Policy (JEPP) has established itself as one of the flagship journals in the study of public policy, European politics and the EU and aims to provide a comprehensive and definitive source of analytical, theoretical and methodological articles in these fields. Focusing on the dynamics of public policy in Europe, the journal encourages a wide range of social science approaches, both qualitative and quantitative.",1,article,Article,,8000,words,11/05/2020
12,Journal of European Public Policy,12,51,80,1994,Taylor & Francis,https://www.tandfonline.com/toc/rjpp20/current,"The Journal of European Public Policy (JEPP) has established itself as one of the flagship journals in the study of public policy, European politics and the EU and aims to provide a comprehensive and definitive source of analytical, theoretical and methodological articles in these fields. Focusing on the dynamics of public policy in Europe, the journal encourages a wide range of social science approaches, both qualitative and quantitative.",2,comment,Debate,,5000,words,11/05/2020
12,Journal of European Public Policy,12,51,80,1994,Taylor & Francis,https://www.tandfonline.com/toc/rjpp20/current,"The Journal of European Public Policy (JEPP) has established itself as one of the flagship journals in the study of public policy, European politics and the EU and aims to provide a comprehensive and definitive source of analytical, theoretical and methodological articles in these fields. Focusing on the dynamics of public policy in Europe, the journal encourages a wide range of social science approaches, both qualitative and quantitative.",3,other/uncategorised,Research Agenda,,5000,words,11/05/2020
13,Journal of Public Administration Research and Theory,13,45,72,1991,Oxford University Press,https://academic.oup.com/jpart,"The Journal of Public Administration Research and Theory seeks to advance public administration scholarship by publishing the highest quality theoretical and empirical work in the field. The journal is multidisciplinary and includes within its scope organizational, administrative, managerial, and policy-based research that improves our understanding of the public sector. JPART is committed to developing diverse and rigorous research that extends and builds public administration theory.",1,article,Article,,12000,words,11/05/2020
14,Global Environmental Politics,14,28,43,2001,MIT,https://www.mitpressjournals.org/loi/glep,"Global Environmental Politics examines relationships between global political forces and environmental change, with particular attention given to the implications of local-global interactions for environmental management, as well as to the implications of environmental change and environmental governance for world politics. Each issue contains several full-length research articles, and may also contain shorter forum articles and/or a research note. The journal seeks to publish on a broad range of issues, from water to waste management to climate change. Topics covered include, but are not limited to, states and non-state actors in environmental governance, multilateral institutions and agreements, innovative governance arrangements, trade, global finance, corporations and markets, environmental (in)security, science and technology, and transnational and grassroots movements. Contributions come from many disciplines, including political science, international relations, sociology, history, human geography, anthropology, public policy, science and technology studies, and environmental ethics, law, and economics.",1,article,Article,,8000,words,11/05/2020
14,Global Environmental Politics,14,28,43,2001,MIT,https://www.mitpressjournals.org/loi/glep,"Global Environmental Politics examines relationships between global political forces and environmental change, with particular attention given to the implications of local-global interactions for environmental management, as well as to the implications of environmental change and environmental governance for world politics. Each issue contains several full-length research articles, and may also contain shorter forum articles and/or a research note. The journal seeks to publish on a broad range of issues, from water to waste management to climate change. Topics covered include, but are not limited to, states and non-state actors in environmental governance, multilateral institutions and agreements, innovative governance arrangements, trade, global finance, corporations and markets, environmental (in)security, science and technology, and transnational and grassroots movements. Contributions come from many disciplines, including political science, international relations, sociology, history, human geography, anthropology, public policy, science and technology studies, and environmental ethics, law, and economics.",2,research_note,Research Note,3000,5000,words,11/05/2020
14,Global Environmental Politics,14,28,43,2001,MIT,https://www.mitpressjournals.org/loi/glep,"Global Environmental Politics examines relationships between global political forces and environmental change, with particular attention given to the implications of local-global interactions for environmental management, as well as to the implications of environmental change and environmental governance for world politics. Each issue contains several full-length research articles, and may also contain shorter forum articles and/or a research note. The journal seeks to publish on a broad range of issues, from water to waste management to climate change. Topics covered include, but are not limited to, states and non-state actors in environmental governance, multilateral institutions and agreements, innovative governance arrangements, trade, global finance, corporations and markets, environmental (in)security, science and technology, and transnational and grassroots movements. Contributions come from many disciplines, including political science, international relations, sociology, history, human geography, anthropology, public policy, science and technology studies, and environmental ethics, law, and economics.",3,comment,Forum,2000,3000,words,11/05/2020
15,World Politics,15,33,65,1948,Cambridge University Press,https://www.cambridge.org/core/journals/world-politics,"World Politics, founded in 1948, is an internationally renowned quarterly journal of political science published in both print and online versions. Open to contributions by scholars, World Politics invites submission of research articles that make theoretical and empirical contributions to the literature, and review articles bearing on problems in international relations and comparative politics. The journal does not publish articles on current affairs, policy pieces, or narratives of a journalistic nature. Articles submitted for consideration are unsolicited, except for review articles, which are usually commissioned.",1,article,Article,,12500,words,11/05/2020
15,World Politics,15,33,65,1948,Cambridge University Press,https://www.cambridge.org/core/journals/world-politics,"World Politics, founded in 1948, is an internationally renowned quarterly journal of political science published in both print and online versions. Open to contributions by scholars, World Politics invites submission of research articles that make theoretical and empirical contributions to the literature, and review articles bearing on problems in international relations and comparative politics. The journal does not publish articles on current affairs, policy pieces, or narratives of a journalistic nature. Articles submitted for consideration are unsolicited, except for review articles, which are usually commissioned.",2,other/uncategorised,Review,,12500,words,11/05/2020
16,Socio-Economic Review,16,36,51,2003,Oxford University Press,https://academic.oup.com/ser,"Originating in the Society for the Advancement of Socio-Economics (SASE), Socio-Economic Review (SER) is part of a broader movement in the social sciences for the rediscovery of the socio-political foundations of the economy. Devoted to the advancement of socio-economics, it deals with the analytical, political and moral questions arising at the intersection between economy and society. Articles in SER explore how the economy is or should be governed by social relations, institutional rules, political decisions, and cultural values. They also consider how the economy in turn affects the society of which it is part, for example by breaking up old institutional forms and giving rise to new ones. The domain of the journal is deliberately broadly conceived, so new variations to its general theme may be discovered and editors can learn from the papers that readers submit. To enhance international dialogue, Socio-Economic Review accepts the submission of translated articles that are simultaneously published in a language other than English. In pursuit of its program, SER is eager to promote interdisciplinary dialogue between sociology, economics, political science and moral philosophy, through both empirical and theoretical work. Empirical papers may be qualitative as well as quantitative, and theoretical papers will not be confined to deductive model-building. Papers suggestive of more generalizable insights into the economy as a domain of social action will be preferred over narrowly specialized work. While firmly committed to the highest standards of scholarly excellence, Socio-Economic Review encourages discussion of the practical and ethical dimensions of economic action, with the intention to contribute to both the advancement of social science and the building of a good economy in a good society.",1,article,Article,,10000,words,11/05/2020
17,Public Opinion Quarterly,17,33,46,1937,Oxford University Press,https://academic.oup.com/poq,"Published since 1937, Public Opinion Quarterly is among the most frequently cited journals of its kind. Such interdisciplinary leadership benefits academicians and all social science researchers by providing a trusted source for a wide range of high quality research. POQ selectively publishes important theoretical contributions to opinion and communication research, analyses of current public opinion, and investigations of methodological issues involved in survey validity - including questionnaire construction, interviewing and interviewers, sampling strategy, and mode of administration. The theoretical and methodological advances detailed in pages of POQ ensure its importance as a research resource.",1,article,Article,,6500,words,11/05/2020
17,Public Opinion Quarterly,17,33,46,1937,Oxford University Press,https://academic.oup.com/poq,"Published since 1937, Public Opinion Quarterly is among the most frequently cited journals of its kind. Such interdisciplinary leadership benefits academicians and all social science researchers by providing a trusted source for a wide range of high quality research. POQ selectively publishes important theoretical contributions to opinion and communication research, analyses of current public opinion, and investigations of methodological issues involved in survey validity - including questionnaire construction, interviewing and interviewers, sampling strategy, and mode of administration. The theoretical and methodological advances detailed in pages of POQ ensure its importance as a research resource.",2,other/uncategorised,Poll Reviews,,,,11/05/2020
17,Public Opinion Quarterly,17,33,46,1937,Oxford University Press,https://academic.oup.com/poq,"Published since 1937, Public Opinion Quarterly is among the most frequently cited journals of its kind. Such interdisciplinary leadership benefits academicians and all social science researchers by providing a trusted source for a wide range of high quality research. POQ selectively publishes important theoretical contributions to opinion and communication research, analyses of current public opinion, and investigations of methodological issues involved in survey validity - including questionnaire construction, interviewing and interviewers, sampling strategy, and mode of administration. The theoretical and methodological advances detailed in pages of POQ ensure its importance as a research resource.",3,other/uncategorised,Poll Trends,,2500,words,11/05/2020
17,Public Opinion Quarterly,17,33,46,1937,Oxford University Press,https://academic.oup.com/poq,"Published since 1937, Public Opinion Quarterly is among the most frequently cited journals of its kind. Such interdisciplinary leadership benefits academicians and all social science researchers by providing a trusted source for a wide range of high quality research. POQ selectively publishes important theoretical contributions to opinion and communication research, analyses of current public opinion, and investigations of methodological issues involved in survey validity - including questionnaire construction, interviewing and interviewers, sampling strategy, and mode of administration. The theoretical and methodological advances detailed in pages of POQ ensure its importance as a research resource.",4,research_note,Research Note,,3000,words,11/05/2020
17,Public Opinion Quarterly,17,33,46,1937,Oxford University Press,https://academic.oup.com/poq,"Published since 1937, Public Opinion Quarterly is among the most frequently cited journals of its kind. Such interdisciplinary leadership benefits academicians and all social science researchers by providing a trusted source for a wide range of high quality research. POQ selectively publishes important theoretical contributions to opinion and communication research, analyses of current public opinion, and investigations of methodological issues involved in survey validity - including questionnaire construction, interviewing and interviewers, sampling strategy, and mode of administration. The theoretical and methodological advances detailed in pages of POQ ensure its importance as a research resource.",5,other/uncategorised,Research Syntheses,,,,11/05/2020
18,Comparative Political Studies,18,50,69,1968,SAGE,http://journals.sagepub.com/home/cps,"Comparative Political Studies is a journal of social and political science which publishes scholarly work on comparative politics at both the cross-national and intra-national levels. We are particularly interested in articles which have an innovative theoretical argument and are based on sound and original empirical research. We also encourage submissions about comparative methodology, particularly when methodological arguments are closely linked with substantive issues in the field.",1,article,Article,,12000,words,11/05/2020
19,Political Psychology,19,44,67,1980,Wiley,https://onlinelibrary.wiley.com/journal/14679221,"Understanding the psychological aspects of national and international political developments is increasingly important in this age of international tension and sweeping political change. Political Psychology, the journal of the International Society of Political Psychology, is dedicated to the analysis of the interrelationships between psychological and political processes. International contributors draw on a diverse range of sources, including cognitive psychology, economics, history, international relations, philosophy, political science, political theory, sociology, personality social and clinical psychology.",1,article,Article,,9000,words,11/05/2020
20,New Political Economy,20,34,44,1996,Taylor & Francis,https://www.tandfonline.com/toc/cnpe20/current,"New Political Economy aims to create a forum for work which combines the breadth of vision which characterised the classical political economy of the nineteenth century with the analytical advances of twentieth century social science. It seeks to represent the terrain of political economy scholarship across different disciplines, emphasising original and innovative work which explores new approaches and methodologies, and addresses core debates and issues of historical and contemporary relevance. These include: Domestic, comparative and global political economy, Space, resources and environment, Justice, inequality and development, Global markets, institutions and regulation",1,article,Article,,8000,words,11/05/2020
21,European Journal of Political Research,21,39,63,1973,Wiley,https://onlinelibrary.wiley.com/journal/14756765,"European Journal of Political Research publishes original and substantial contributions to the study of comparative European politics. We specialise in articles articulating conceptual and comparative perspectives with a broad theoretical relevance, speaking to different academic literatures on a variety of sub-fields and topics. We welcome both quantitative and qualitative approaches as well as contributions from other sub-disciplines (including international relations and political theory) and geographical areas (including North and South America) that are relevant to the comparative study of politics. Authors are strongly encouraged to reflect deeply on the broader theoretical implications of their empirical research so as to engage as broad an audience as possible. Likewise, reviewers are expected to evaluate and stimulate the broader theoretical contributions of the submitted pieces.",1,article,Article,,10000,words,11/05/2020
21,European Journal of Political Research,21,39,63,1973,Wiley,https://onlinelibrary.wiley.com/journal/14756765,"European Journal of Political Research publishes original and substantial contributions to the study of comparative European politics. We specialise in articles articulating conceptual and comparative perspectives with a broad theoretical relevance, speaking to different academic literatures on a variety of sub-fields and topics. We welcome both quantitative and qualitative approaches as well as contributions from other sub-disciplines (including international relations and political theory) and geographical areas (including North and South America) that are relevant to the comparative study of politics. Authors are strongly encouraged to reflect deeply on the broader theoretical implications of their empirical research so as to engage as broad an audience as possible. Likewise, reviewers are expected to evaluate and stimulate the broader theoretical contributions of the submitted pieces.",2,research_note,Research Note,,5000,words,11/05/2020
21,European Journal of Political Research,21,39,63,1973,Wiley,https://onlinelibrary.wiley.com/journal/14756765,"European Journal of Political Research publishes original and substantial contributions to the study of comparative European politics. We specialise in articles articulating conceptual and comparative perspectives with a broad theoretical relevance, speaking to different academic literatures on a variety of sub-fields and topics. We welcome both quantitative and qualitative approaches as well as contributions from other sub-disciplines (including international relations and political theory) and geographical areas (including North and South America) that are relevant to the comparative study of politics. Authors are strongly encouraged to reflect deeply on the broader theoretical implications of their empirical research so as to engage as broad an audience as possible. Likewise, reviewers are expected to evaluate and stimulate the broader theoretical contributions of the submitted pieces.",3,other/uncategorised,Review,,5000,words,11/05/2020
22,Political Geography,22,34,50,1982,Elsevier,https://www.journals.elsevier.com/political-geography,"Political Geography is the flagship journal of political geography and advances knowledge in all aspects of the geographical and spatial dimensions of politics and the political. The journal brings together leading contributions in the field and promotes interdisciplinary debates in international relations, political science, and other related fields. While we welcome articles with an empirical focus or that center on policy implications, all research published in the journal is expected to engage with and advance the subdiscipline s conceptual, methodological, and theoretical literature. We encourage contributions drawn from diverse theoretical and methodological perspectives, covering all scales of inquiry, and from scholars in all parts of the world.",1,article,Article,,11000,words,11/05/2020
22,Political Geography,22,34,50,1982,Elsevier,https://www.journals.elsevier.com/political-geography,"Political Geography is the flagship journal of political geography and advances knowledge in all aspects of the geographical and spatial dimensions of politics and the political. The journal brings together leading contributions in the field and promotes interdisciplinary debates in international relations, political science, and other related fields. While we welcome articles with an empirical focus or that center on policy implications, all research published in the journal is expected to engage with and advance the subdiscipline s conceptual, methodological, and theoretical literature. We encourage contributions drawn from diverse theoretical and methodological perspectives, covering all scales of inquiry, and from scholars in all parts of the world.",2,other/uncategorised,Intervention,,11000,words,11/05/2020
22,Political Geography,22,34,50,1982,Elsevier,https://www.journals.elsevier.com/political-geography,"Political Geography is the flagship journal of political geography and advances knowledge in all aspects of the geographical and spatial dimensions of politics and the political. The journal brings together leading contributions in the field and promotes interdisciplinary debates in international relations, political science, and other related fields. While we welcome articles with an empirical focus or that center on policy implications, all research published in the journal is expected to engage with and advance the subdiscipline s conceptual, methodological, and theoretical literature. We encourage contributions drawn from diverse theoretical and methodological perspectives, covering all scales of inquiry, and from scholars in all parts of the world.",3,book_review,Review Essays,2000,4000,words,11/05/2020
23,International Journal of Press/Politics,23,29,39,1996,SAGE,http://journals.sagepub.com/home/hij,"The International Journal of Press/Politics is an interdisciplinary journal for the analysis and discussion of the role of the press and politics in a globalized world. The Journal is interested in theoretical and empirical research on the linkages between the news media and political processes and actors. Special attention is given to the following subjects: the press and political institutions (e.g. the state, government, political parties, social movements, unions, interest groups, business), the politics of media coverage of social and cultural issues (e.g. race, language, health, environment, gender, nationhood, migration, labor), the dynamics and effects of political communication (e.g. election campaigning, advocacy, grassroots mobilization, political advertising, lobbying), politics and media systems, and the relation between politics and journalistic practice. The Journal encourages comparative, cross-national research from various theoretical and methodological approaches across the social sciences. It features long and short research articles, commentary on pedagogy and current news headlines from around the world, and a book review section.",1,article,Article,6000,8000,words,11/05/2020
24,Review of International Political Economy,24,39,65,1994,Taylor & Francis,https://www.tandfonline.com/toc/rrip20/current,"The Review of International Political Economy (RIPE) has successfully established itself as a leading international journal dedicated to the systematic exploration of the international political economy from a plurality of perspectives. The journal encourages a global and interdisciplinary approach across issues and fields of inquiry. It seeks to act as a point of convergence for political economists, international relations scholars, geographers, and sociologists, and is committed to the publication of work that explores such issues as international trade and finance, production and consumption, and global governance and regulation, in conjunction with issues of culture, identity, gender, and ecology. The journal eschews monolithic perspectives and seeks innovative work that is both pluralist in its orientation and engages with the broad literatures of IPE. ",1,article,Article,,12000,words,11/05/2020
24,Review of International Political Economy,24,39,65,1994,Taylor & Francis,https://www.tandfonline.com/toc/rrip20/current,"The Review of International Political Economy (RIPE) has successfully established itself as a leading international journal dedicated to the systematic exploration of the international political economy from a plurality of perspectives. The journal encourages a global and interdisciplinary approach across issues and fields of inquiry. It seeks to act as a point of convergence for political economists, international relations scholars, geographers, and sociologists, and is committed to the publication of work that explores such issues as international trade and finance, production and consumption, and global governance and regulation, in conjunction with issues of culture, identity, gender, and ecology. The journal eschews monolithic perspectives and seeks innovative work that is both pluralist in its orientation and engages with the broad literatures of IPE. ",2,comment,Commentary,,6000,words,11/05/2020
24,Review of International Political Economy,24,39,65,1994,Taylor & Francis,https://www.tandfonline.com/toc/rrip20/current,"The Review of International Political Economy (RIPE) has successfully established itself as a leading international journal dedicated to the systematic exploration of the international political economy from a plurality of perspectives. The journal encourages a global and interdisciplinary approach across issues and fields of inquiry. It seeks to act as a point of convergence for political economists, international relations scholars, geographers, and sociologists, and is committed to the publication of work that explores such issues as international trade and finance, production and consumption, and global governance and regulation, in conjunction with issues of culture, identity, gender, and ecology. The journal eschews monolithic perspectives and seeks innovative work that is both pluralist in its orientation and engages with the broad literatures of IPE. ",3,other/uncategorised,Pedagogical Interventions,5000,8000,words,11/05/2020
