id,journal,since,publisher,website,scope,article_type,word_limit,notes
57,Local Government Studies,1975,Taylor & Francis,https://www.tandfonline.com/toc/flgs20/current,,,,
58,Electoral Studies,1982,Elsevier,https://www.journals.elsevier.com/electoral-studies,,,,
59,Journal of Public Policy,1981,Cambridge University Press,https://www.cambridge.org/core/journals/journal-of-public-policy,,,,
60,Parliamentary Affairs,1947,Oxford University Press,https://academic.oup.com/pa,,,,
61,Annals of the American Academy of Political and Social Sciences,1890,SAGE,http://journals.sagepub.com/home/ann,,,,
62,European Journal of Political Economy,1985,Elsevier,https://www.journals.elsevier.com/european-journal-of-political-economy,,,,
63,Political Quarterly,1930,Wiley,https://onlinelibrary.wiley.com/journal/1467923x,,,,
64,Quarterly Journal of Political Science,2006,now publishers,https://www.nowpublishers.com/QJPS,,,,
65,International Political Science Review,1980,SAGE,http://journals.sagepub.com/home/ips,,,,
66,Review of International Organizations,2006,Springer,https://www.springer.com/social+sciences/journal/11558,,,,
67,Swiss Political Science Review,1995,Wiley,https://onlinelibrary.wiley.com/journal/16626370,,,,
68,Mediterranean Politics,1996,Taylor & Francis,https://www.tandfonline.com/toc/fmed20/current,,,,
69,Studies in Conflict andTerrorism,1977,Taylor & Francis,https://www.tandfonline.com/toc/uter20/current,,,,
70,State Politics andPolicy Quarterly,2001,SAGE,http://journals.sagepub.com/home/spa,,,,
71,Legislative Studies Quarterly,1976,Wiley,https://onlinelibrary.wiley.com/journal/19399162,,,,
72,Problems of Post-Communism,1954,Taylor & Francis,https://www.tandfonline.com/toc/mppc20/current,,,,
73,Political Studies,1953,SAGE,http://journals.sagepub.com/home/psx,,,,
74,Philosophy andPublic Affairs,1972,Wiley,https://onlinelibrary.wiley.com/journal/10884963,,,,
75,Political Research Quarterly,1948,SAGE,http://journals.sagepub.com/home/prq,,,,
76,Contemporary Security Policy,1980,Taylor & Francis,https://www.tandfonline.com/toc/fcsp20/current,,,,
77,European Political Science Review,2009,Cambridge University Press,https://www.cambridge.org/core/journals/european-political-science-review,,,,
78,Journal of International Relations and Development,2004,Palgrave,https://www.palgrave.com/de/journal/41268,,,,
79,Publius: The Journal of Federalism,1971,Oxford University Press,https://academic.oup.com/publius,,,,
80,Comparative Politics,1950,Ingenta Connect,http://www.ingentaconnect.com/content/cuny/cp,,,,
81,International Journal of Public Opinion Research,1989,Oxford University Press,https://academic.oup.com/ijpor,,,,
82,International Journal of Transitional Justice,2007,Oxford University Press,https://academic.oup.com/ijtj,,,,
83,Journal of Strategic Studies,1978,Taylor & Francis,https://www.tandfonline.com/toc/fjss20/current,,,,
84,German Politics,1992,Taylor & Francis,https://www.tandfonline.com/toc/fgrp20/current,,,,
85,European Security,1992,Taylor & Francis,https://www.tandfonline.com/toc/feus20/current,,,,
86,Ethics andInternational Affairs,1958,Cambridge University Press,https://www.cambridge.org/core/journals/ethics-and-international-affairs,,,,
87,Terrorism and Political Violence,1989,Taylor & Francis,https://www.tandfonline.com/loi/ftpv20,,,,
88,Citizenship Studies,1997,Taylor & Francis,https://www.tandfonline.com/toc/ccst20/current,,,,
89,Politics,1981,SAGE,http://journals.sagepub.com/home/pol,,,,
90,Política y Gobierno,1994,Centro de Investigacion y Docencia Economicas,http://www.politicaygobierno.cide.edu/index.php/pyg,,,,
91,Communist and Post-Communist Studies,1968,Elsevier,https://www.journals.elsevier.com/communist-and-post-communist-studies/,,,,
92,Europe-Asia Studies,1949,Taylor & Francis,https://www.tandfonline.com/toc/ceas20/current,,,,
93,PS: Political Science andPolitics,1986,Cambridge University Press,https://www.cambridge.org/core/journals/ps-political-science-and-politics,,,,
94,Politics and Governance,2013,Cogitatio Press,https://www.cogitatiopress.com/politicsandgovernance,,,,
95,Journal of European Integration,1977,Taylor & Francis,https://www.tandfonline.com/toc/geui20/current,,,,
96,Nations and Nationalism,1995,Wiley,https://onlinelibrary.wiley.com/journal/14698129,,,,
97,Survival,1959,Taylor & Francis,https://www.tandfonline.com/toc/tsur20/current,,,,
98,International Theory,2009,Cambridge University Press,https://www.cambridge.org/core/journals/international-theory,,,,
99,Contemporary Politics,1995,Taylor & Francis,https://www.tandfonline.com/toc/ccpo20/current,,,,
100,Social Science Quarterly,1919,Wiley,https://onlinelibrary.wiley.com/journal/15406237,,,,
101,Comparative European Politics,2003,Palgrave,https://www.palgrave.com/de/journal/41295,,,,
102,Global Policy,2010,Wiley,https://onlinelibrary.wiley.com/journal/17585899,,,,
103,Journal of Human Rights,2002,Taylor & Francis,https://www.tandfonline.com/toc/cjhr20/current,,,,
104,Political Studies Review,2003,SAGE,http://journals.sagepub.com/home/psw,,,,
105,American Politics Research,1973,SAGE,http://journals.sagepub.com/home/apr,,,,
106,European Political Science,2001,Palgrave,https://www.palgrave.com/gp/journal/41304,,,,
107,International Journal of Conflict and Violence,2007,Uni Bielefeld,http://www.ijcv.org/index.php/ijcv,,,,
108,Acta Politica,1996,Palgrave,https://www.palgrave.com/gp/journal/41269,,,,
109,"Journal of Women, Politics andPolicy",1980,Taylor & Francis,https://www.tandfonline.com/toc/wwap20/current,,,,
110,Dissent,1954,Project MUSE,http://muse.jhu.edu/journal/464,,,,
111,Economics andPolitics,1989,Wiley,https://onlinelibrary.wiley.com/journal/14680343,,,,
112,British Politics,2006,Palgrave,https://www.palgrave.com/de/journal/41293,,,,
113,Contemporary Southeast Asia,1979,Project MUSE,http://muse.jhu.edu/journal/348,,,,
114,International Feminist Journal of Politics,1999,Taylor & Francis,https://www.ifjpglobal.org/,,,,
115,Review of African Political Economy,1974,Taylor & Francis,https://www.tandfonline.com/toc/crea20/current,,,,
116,Human Rights Quarterly,1982,Project MUSE,http://muse.jhu.edu/journal/77,,,,
117,Journal of Contemporary European Studies,1980,Taylor & Francis,https://www.tandfonline.com/toc/cjea20/current,,,,
118,Public Choice,1966,Springer,https://link.springer.com/journal/11127,,,,
119,Monthly Review,1949,Monthly Review Foundation,https://monthlyreview.org/,,,,
120,Journal of Theoretical Politics,1989,SAGE,http://journals.sagepub.com/home/jtp,,,,
121,Political Theory,1973,SAGE,http://journals.sagepub.com/home/ptx,,,,
122,Studies in American Political Development,1986,Cambridge University Press,https://www.cambridge.org/core/journals/studies-in-american-political-development,,,,
123,Nation,1865,Nation Co Inc,https://www.thenation.com/,,,,
124,Irish Political Studies,1986,Taylor & Francis,https://www.tandfonline.com/toc/fips20/current,,,,
125,Revista Brasileira de Política Internacional,1958,Scielo,http://www.scielo.br/scielo.php?script=sci_serial&pid=0034-7329&lng=en&nrm=iso,,,,
126,Journal of Political Philosophy,1993,Wiley,https://onlinelibrary.wiley.com/journal/14679760,,,,
127,Australian Journal of Political Science,1966,Taylor & Francis,https://www.tandfonline.com/toc/cajp20/current,,,,
128,Critical Review,1986,Taylor & Francis,https://www.tandfonline.com/toc/rcri20/current,,,,
129,Studies in Comparative International Development,1965,Springer,https://link.springer.com/journal/12116,,,,
130,Nationalities Papers,1972,Taylor & Francis,https://www.tandfonline.com/toc/cnap20/current,,,,
131,Politics and Religion,2008,Cambridge University Press,https://www.cambridge.org/core/journals/politics-and-religion,,,,
132,Latin American Politics and Society,1959,Cambridge University Press,https://www.cambridge.org/core/journals/latin-american-politics-and-society,,,,
133,New Republic,1914,Rachel Rosenfelt,https://newrepublic.com/,,,,
134,Intelligence and National Security,1986,Taylor & Francis,https://www.tandfonline.com/toc/fint20/current,,,,
135,Armed Forces andSociety,1974,SAGE,http://journals.sagepub.com/home/afs,,,,
136,Politics andGender,2005,Cambridge University Press,https://www.cambridge.org/core/journals/politics-and-gender,,,,
137,Scandinavian Political Studies,1966,Wiley,https://onlinelibrary.wiley.com/journal/14679477,,,,
138,Journal of Chinese Political Science,1995,Springer,https://link.springer.com/journal/11366,,,,
139,Revista de Ciencia Politica,1979,Pontificia Univ Catolica Chile,http://www.revistacienciapolitica.cl/index.php/rcp,,,,
140,Lex Localis-Journal of Local Self-Government,2003,Lex Localis Press,http://pub.lex-localis.info/index.php/LexLocalis,,,,
141,Latin American Perspectives,1974,SAGE,http://journals.sagepub.com/home/lap,,,,
142,Independent Review,1996,Independent Inst,http://www.independent.org/publications/tir/,,,,
143,Ethics andGlobal Politics,2008,Taylor & Francis,https://www.tandfonline.com/toc/zegp20/current,,,,
144,International Politics,1964,Palgrave,https://www.palgrave.com/gp/journal/41311,,,,
145,Politikon,1974,Taylor & Francis,https://www.tandfonline.com/toc/cpsa20/current,,,,
146,IAPSS Politikon,,,http://politikon.iapss.org/index.php/politikon,,,,
147,Cambridge Review of International Affairs,1986,Taylor & Francis,https://www.tandfonline.com/toc/ccam20/current,,,,
148,"Politics, Philosophy andEconomics",2002,SAGE,http://journals.sagepub.com/home/ppe,,,,
149,"Historia y política: Ideas, procesos y movimientos sociales",1999,Centro Estudios Politicos Constitucionales,https://recyt.fecyt.es/index.php/Hyp/index,,,,
150,Political Science Quarterly,1886,Wiley,https://onlinelibrary.wiley.com/journal/1538165x,,,,
151,Polity,1986,University of Chicago Press,https://www.journals.uchicago.edu/toc/pol/current,,,,
152,East European Politics and Societies,1986,SAGE,http://journals.sagepub.com/home/eep,,,,
153,Contemporary Political Theory,2002,Palgrave,https://www.palgrave.com/de/journal/41296,,,,
154,Politix,1987,De Boeck Universite,http://politix.cairn.info/en/,,,,
155,Philippine Political Science Journal,1974,Taylor & Francis,https://www.tandfonline.com/toc/rpsj20/current,,,,
156,Political Science,1948,Taylor & Francis,https://www.tandfonline.com/toc/rpnz20/current,,,,
157,Forum,2003,DeGruyter,https://www.degruyter.com/view/j/for,,,,
158,Canadian Journal of Political Science/Revue canadienne de science politique,1935,Cambridge University Press,https://www.cambridge.org/core/journals/canadian-journal-of-political-science-revue-canadienne-de-science-politique,,,,
159,Historical Materialism,1997,Brill,http://booksandjournals.brillonline.com/content/journals/10.1163/156920609x460174,,,,
160,Scottish Journal of Political Economy,1954,Wiley,https://onlinelibrary.wiley.com/journal/14679485,,,,
161,European History Quarterly,1971,SAGE,http://journals.sagepub.com/home/ehq,,,,
162,Internasjonal Politikk,1942,NOASP,https://tidsskriftet-ip.no/index.php/intpol,,,,
163,Australian Journal of Politics andHistory,1955,Wiley,https://onlinelibrary.wiley.com/journal/14678497,,,,
164,Revista de Estudios Políticos,1941,Centro de Estudios Políticos y Constitucionales,https://dialnet.unirioja.es/servlet/revista?codigo=1166,,,,
165,Österreichische Zeitschrift für Politikwissenschaft,1972,Innsbruck University Press,http://www.oezp.at/,,,,
166,Politische Vierteljahresschrift,1960,Springer,https://link.springer.com/journal/11615,,,,
167,Presidential Studies Quarterly,1971,Wiley,https://onlinelibrary.wiley.com/journal/17415705,,,,
168,Politická Ekonomie,1952,"University of Economics, Prague",https://www.vse.cz/polek/,,,,
169,Journal of Australian Political Economy,1977,Australian Political Economy Movement,http://australianpe.wixsite.com/japehome,,,,
170,Japanese Journal of Political Science,2000,Cambridge University Press,https://www.cambridge.org/core/journals/japanese-journal-of-political-science,,,,
171,Revista del CLAD Reforma y Democracia,1994,CLAD,http://old.clad.org/portal/publicaciones-del-clad/revista-clad-reforma-democracia,,,,
172,Journal of Cold War Studies,1999,MIT,https://www.mitpressjournals.org/loi/jcws,,,,
173,Osteuropa,1925,bwv (Berline Wissenschaftsverlag),https://www.zeitschrift-osteuropa.de/hefte/,,,,
174,Current History,1914,Daniel Mark Redmond,http://www.currenthistory.com/,,,,
175,Telos,1968,Telos Press,http://journal.telospress.com/,,,,
176,Journal of Policy History,1989,Cambridge University Press,https://www.cambridge.org/core/journals/journal-of-policy-history,,,,
177,Romanian Journal of Political Science,2001,Romanian Acad Soc,http://www.sar.org.ro/polsci/,,,,
178,Journal of Political Economy,1892,Chicago,https://www.journals.uchicago.edu/loi/jpe,,,,
179,Foreign Affairs,,,,,,,
180,Journal of Ethnic and Migration Studies,,,,,,,
181,International Affairs,,,,,,,
182,Journal of Policy Analysis and Management,,,,,,,
183,American Review of Public Administration,,,,,,,
184,European Journal of International Relations,,,,,,,
185,Security Dialogue,,,,,,,
186,International Security,,,,,,,
187,Journal of European Social Policy,,,,,,,
188,Review of International Studies,,,,,,,
189,Globalizations,,,,,,,
190,Policy Sciences,,,,,,,
191,Critical Social Policy,,,,,,,
192,Perspectives on Terrorism,,,,,,,
193,Conflict Management and Peace Science,,,,,,,
194,European Journal of Social Theory,,,,,,,
195,Foreign Policy Analysis,,,,,,,
196,Urban Affairs Review,,,,,,,
197,Journal of Political Ecology,,,,,,,
198,Washington Quarterly,,,,,,,
199,Journal of Contingencies and Crisis Management,,,,,,,
200,Security Studies,,,,,,,
201,"Social Politics: International Studies in Gender, State andSociety",,,,,,,
202,International Studies Perspectives,,,,,,,
203,Bulletin of the Atomic Scientists,,,,,,,
204,Global Governance,,,,,,,
205,International Interactions,,,,,,,
206,Constellations,,,,,,,
207,East European Politics,,,,,,,
208,Middle East Policy,,,,,,,
209,African Studies Review,,,,,,,
210,Critical Review of International Social and Political Philosophy,,,,,,,
211,"Journal of Elections, Public Opinion and Parties",,,,,,,
212,Journal of Legislative Studies,,,,,,,
213,Journal of Post-Soviet Democratization,,,,,,,
214,Journal of Southern African Studies,,,,,,,
215,Patterns of Prejudice,,,,,,,
216,Ethnopolitics,,,,,,,
217,European Journal of Political Theory,,,,,,,
218,International Journal of Political Economy,,,,,,,
219,Revista de ciencia polÃ­tica,,,,,,,
220,Ethical Theory and Moral Practice,,,,,,,
221,Journal of Current Chinese Affairs,,,,,,,
222,Journal of Modern African Studies,,,,,,,
223,Cato Journal,,,,,,,
224,Journal of Social Theory,,,,,,,
225,Journal on Excellence in College Teaching,,,,,,,
226,Representation,,Taylor & Francis,https://www.tandfonline.com/toc/rrep20/current,,,,
227,Insight Turkey,,,,,,,
228,Journal of Current Southeast Asian Affairs,,,,,,,
229,New Political Science,,,,,,,
230,Social Theory and Practice,,,,,,,
231,Studies in Ethnicity and Nationalism,,,,,,,
232,World Affairs,,,,,,,
233,Constitutional Political Economy,,,,,,,
234,French Politics,,,,,,,
235,International Journal of Middle East Studies,,,,,,,
236,"International Journal of Politics, Culture, and Society",,,,,,,
237,Journal of Genocide Research,,,,,,,
238,Journal of Moral Philosophy,,,,,,,
239,Journal of Political Science Education,,,,,,,
240,National Identities,,,,,,,
241,Rethinking Marxism,,,,,,,
242,State and Local Government Review,,,,,,,
243,Middle Eastern Studies,,,,,,,
244,Social Justice,,,,,,,
245,Social Philosophy and Policy,,,,,,,
246,Brazilian Political Science Review,,,,,,,
247,Canadian Foreign Policy Journal,,,,,,,
248,International Area Studies Review,,,,,,,
249,International Journal of Intelligence and CounterIntelligence,,,,,,,
250,Peace Review,,,,,,,
251,Res Publica,,,,,,,
252,Utilitas,,,,,,,
253,Chinese Political Science Review,,,,,,,
254,Democracy and Security,,,,,,,
255,Digest of Middle East Studies,,,,,,,
256,German Politics and Society,,,,,,,
257,Politique Africaine,,,,,,,
258,Scottish Affairs,,,,,,,
259,Social Science History,,,,,,,
260,Comparative Strategy,,,,,,,
261,Foreign Policy,,,,,,,
262,Israel Affairs,,,,,,,
263,Journal of Church and State,,,,,,,
264,"Journal of Policing, Intelligence and Counter Terrorism",,,,,,,
265,Latin American Policy,,,,,,,
266,Nonproliferation Review,,,,,,,
267,History of Political Thought,,,,,,,
268,Journal of Asian Security and International Affairs,,,,,,,
269,Politics and the Life Sciences,,,,,,,
270,Studies in Indian Politics,,,,,,,
271,Journal of Transatlantic Studies,,,,,,,
272,New Global Studies,,,,,,,
273,"Journal of Social, Political, and Economic Studies",,,,,,,
274,Parliamentary History,,,,,,,
275,Review of Politics,,,,,,,
276,American Political Thought,,,,,,,
277,Anarchist Studies,,,,,,,
278,Perspectives on Political Science,,,,,,,
279,Soundings: An Interdisciplinary Journal,,,,,,,
280,AQ: Australian Quarterly,,,,,,,
281,Foro Interno,,,,,,,
282,Politeia,,,,,,,
283,African Journal of Political Science and International Relations,,,,,,,
284,Asian Journal of Political Science,,,,,,,
285,"Atlantis: Critical Studies in Gender, Culture andSocial Justice",,,,,,,
286,Australian Journal of International Affairs,,,,,,,
287,British Journal of Middle Eastern Studies,,,,,,,
288,California Journal of Politics and Policy,,,,,,,
289,Central European Journal of International andSecurity Studies,,,,,,,
290,Contemporary Readings in Law and Social Justice,,,,,,,
291,Czech Journal of Political Science,,,,,,,
292,European Foreign Affairs Review,,,,,,,
293,European Politics and Society,,,,,,,
294,European Review of International Studies,,,,,,,
295,"French Politics, Culture andSociety",,,,,,,
296,Georgetown Journal of International Affairs,,,,,,,
297,Government-Annual Research Journal of Political Science,,,,,,,
298,Indian Foreign Affairs Journal,,,,,,,
299,Israel Journal of Foreign Affairs,,,,,,,
300,"Journal of Geography, Politics and Society",,,,,,,
301,Journal of International Affairs,,,,,,,
302,Journal of Poverty and Social Justice,,,,,,,
303,"Parliaments, Estates and Representation",,,,,,,
304,Polis. Journal of Political Science,,,,,,,
305,Polish Quarterly of International Affairs,,,,,,,
306,Public Security Studies,,,,,,,
307,Res Publica. Revista de Filosofia Politica,,,,,,,
308,Res Publica: revista de historia de las ideas politicas,,,,,,,
309,Review of Faith andInternational Affairs,,,,,,,
310,RUDN Journal of Political Science,,,,,,,
311,SAIS Review of International Affairs,,,,,,,
312,Seattle Journal for Social Justice,,,,,,,
313,Social Justice Research,,,,,,,
314,Soochow Journal of Political Science,,,,,,,
315,South African Journal of International Affairs,,,,,,,
316,Studies in Social Justice,,,,,,,
